equipment_number,description,equipment_type,functional_location,plant,planning_plant,cost_center,manufacturer,model_number,serial_number,installation_date,age_years,lifecycle_stage,criticality,abc_indicator,warranty_end_date,weight_kg,status
CP-001,Crude Transfer Pump A,Centrifugal Pump,OG-FIELD-PRODUCTION,1000,1000,CC-PRODUCTION,Sulzer,SUL-6337,SN-203522,2018-01-15,8,Mid Life,High,A,2020-01-15,1977,AVLB
CP-002,Crude Transfer Pump B,Centrifugal Pump,OG-FIELD-PRODUCTION,1000,1000,CC-PRODUCTION,Sulzer,SUL-6083,SN-839315,2018-01-15,8,Mid Life,High,A,2020-01-15,7476,AVLB
CP-003,Water Injection Pump,Centrifugal Pump,OG-FIELD-INJECTION,1000,1000,CC-INJECTION,Flowserve,FLO-2568,SN-276653,2021-01-15,5,Early Life,Medium,B,2023-01-15,653,AVLB
CP-004,Seawater Lift Pump,Centrifugal Pump,OG-FIELD-UTILITIES,1000,1000,CC-UTILITIES,Flowserve,FLO-5806,SN-296743,2014-01-15,12,Late Life,Medium,B,2016-01-15,6802,BRKD
GC-001,Export Gas Compressor,Gas Compressor,OG-FIELD-COMPRESSION,1000,1000,CC-COMPRESSION,Atlas Copco,ATL-3771,SN-160718,2020-01-15,6,Mid Life,High,A,2022-01-14,5904,AVLB
GC-002,Booster Compressor A,Gas Compressor,OG-FIELD-COMPRESSION,1000,1000,CC-COMPRESSION,Siemens,SIE-4226,SN-537858,2016-01-15,10,Mid Life,High,A,2018-01-14,4601,AVLB
GC-003,Vapor Recovery Compressor,Gas Compressor,OG-FIELD-COMPRESSION,1000,1000,CC-COMPRESSION,Ariel,ARI-4641,SN-663394,2023-01-15,3,Early Life,Medium,B,2025-01-14,2390,AVLB
HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,OG-FIELD-PROCESSING,1000,1000,CC-PROCESSING,Alfa Laval,ALF-1006,SN-153176,2017-01-15,9,Mid Life,Medium,B,2019-01-15,12513,AVLB
HX-002,Gas Cooler,Heat Exchanger,OG-FIELD-COMPRESSION,1000,1000,CC-COMPRESSION,Alfa Laval,ALF-5283,SN-856918,2020-01-15,6,Mid Life,High,A,2022-01-14,3268,AVLB
HX-003,Produced Water Cooler,Heat Exchanger,OG-FIELD-UTILITIES,1000,1000,CC-UTILITIES,Kelvion,KEL-4899,SN-762271,2022-01-15,4,Early Life,Low,C,2024-01-15,6260,AVLB
SP-001,1st Stage Separator,Three-Phase Separator,OG-FIELD-PROCESSING,1000,1000,CC-PROCESSING,Exterran,EXT-2009,SN-645087,2017-01-15,9,Mid Life,High,A,2019-01-15,3417,AVLB
SP-002,2nd Stage Separator,Three-Phase Separator,OG-FIELD-PROCESSING,1000,1000,CC-PROCESSING,Exterran,EXT-4916,SN-291403,2017-01-15,9,Mid Life,High,A,2019-01-15,4617,AVLB
SP-003,Test Separator,Three-Phase Separator,OG-FIELD-WELL-TESTING,1000,1000,CC-WELL-TESTING,HC Petroleum,HC -9704,SN-300164,2019-01-15,7,Mid Life,Medium,B,2021-01-14,12668,AVLB
GT-001,Power Gen Turbine A,Gas Turbine,OG-FIELD-POWER-GEN,1000,1000,CC-POWER-GEN,GE,GE-3413,SN-723445,2015-01-15,11,Late Life,High,A,2017-01-14,8035,AVLB
GT-002,Power Gen Turbine B,Gas Turbine,OG-FIELD-POWER-GEN,1000,1000,CC-POWER-GEN,Siemens,SIE-1417,SN-398500,2019-01-15,7,Mid Life,High,A,2021-01-14,1860,AVLB
EM-001,Pump Drive Motor A,Electric Motor,OG-FIELD-PRODUCTION,1000,1000,CC-PRODUCTION,ABB,ABB-8109,SN-561664,2018-01-15,8,Mid Life,High,A,2020-01-15,1349,AVLB
EM-002,Compressor Drive Motor,Electric Motor,OG-FIELD-COMPRESSION,1000,1000,CC-COMPRESSION,Siemens,SIE-9800,SN-628141,2016-01-15,10,Mid Life,High,A,2018-01-14,6872,AVLB
CV-001,Separator Level Control Valve,Control Valve,OG-FIELD-PROCESSING,1000,1000,CC-PROCESSING,Emerson,EME-9180,SN-150237,2021-01-15,5,Early Life,Medium,B,2023-01-15,11261,AVLB
CV-002,Compressor Anti-Surge Valve,Control Valve,OG-FIELD-COMPRESSION,1000,1000,CC-COMPRESSION,Emerson,EME-3425,SN-684224,2020-01-15,6,Mid Life,High,A,2022-01-14,882,AVLB
FP-001,Fire Water Pump,Fire Water Pump,OG-FIELD-SAFETY-SYSTEMS,1000,1000,CC-SAFETY-SYSTEMS,Ruhrpumpen,RUH-5379,SN-978014,2012-01-15,14,Late Life,High,A,2014-01-14,11800,AVLB
